001AEROSOL                                          AERO.               
002AMPOULE                                          AMP.                
003AMPOULE BUVABLE                                  AMP.BUV.            
004AMPOULE INJECTABLE                               AMP.INJ.            
005BOITE                                            BTE.                
007CAPSULE                                          CAPS.               
008CAPSULE SPINHALER                                CAPS.+SPINA         
009CAPSULE VAGINALE                                 CAPS.VAG.           
010CARPULE                                          CARP.               
011CARTOUCHE                                        CART.               
012COLLUTOIRE                                       COLLU.              
013COLLYRE                                          COLLY.              
014COMPRIME                                         COMP.               
015COMP. EFFERVESCENT                               COMP.EFFER.         
016COMPRIME OU GELULE                               COMP.OU GLES        
017COMPRIME GENECOLOGIQUE                           COMP.GYNECO.        
018COMPRIME INHALATION                              COMP.INHAL          
019CORRICIDE                                        COR.                
020CREME                                            CRE.                
021DRAGEE                                           DRG.                
022FLACON                                           FL.                 
023GEL                                              GEL                 
024GEL DERMIQUE                                     GEL.DERM.           
025GEL (FLACON MONODOSE)                            GEL.FL.MONODOSE     
026GEL RECTAL                                       GEL.RECT.           
027GELULES                                          GLES.               
028GELULE MICRONISEE                                GLES.MICRON.        
029GRAND MODELE                                     GM.                 
030GRANULE                                          GRLES.              
031GOUTTES BUVABLES                                 GTTES.BUV.          
032INJECTABLE                                       INJ.                
033INJECTABLE FLACON UNIDOSE                        INJ.FL.             
034INJECTION INTRA-DERMIQUE                         INJ.ID.             
035INJECTION SOUS CUTANEE OU INTRA-MUSCULAIRE       INJ.SC.OU IM.       
036LIQUIDE                                          LIQ.                
037LIQUIDE STERILE                                  LIQ.STER.           
038MOUSSE RECTALE                                   MOUS.RECT.          
039OVULE                                            OV.                 
040POMMADE                                          PDE.                
041POMMADE DERMIQUE                                 PDE.DERM.           
042POMMADE OPHTALMIQUE                              PDE.OPHT.           
043POUDRE                                           PDRE.               
044POUDRE (AEROSOL)                                 PDRE.AERO.          
045POUDRE FLACON                                    PDRE.FL.            
046POUDRE LOCALE                                    PDRE.LOC.           
047POUDRE ORALE                                     PDRE.OR.            
048POUDRE RECTALE                                   PDRE.RECT.          
049PDR.P/SOL.BUV(SACHET)                            PDRE.SOL.BUV.       
050POUDRE SOLUTION INTRADISCALE                     PDRE.SOL.I-DISC     
051PDRE P/SOL INJECTABLE                            PDRE.SOL.INJ.       
052POUDRE POUR SOLUTION INJECTABLE INTRA-MUSCULAIRE PDRE.SOL.INJ.IM     
053POUDRE POUR SOLUTION INJECTABLE INTRA-VEINEUSE   PDRE.SOL.INJ.IV     
054PDR.P/SUSP.BUVABLE                               PDRE.P/SUSP.BUV.    
055PETIT MODELE                                     PM.                 
056SIROP                                            SIR.                
057SIROP ADULTE                                     SIR.AD.             
058SIROP ENFANT                                     SIR.ENF.            
059SIROP NOURRISSON                                 SIR.NOUR.           
060SOLUTION                                         SOL.                
061SOLUTION NON INJECTABLE                          SOL. NON INJ.       
062SOLUTION AEROSOL                                 SOL.AERO.           
063SOLUTION AQUEUSE                                 SOL.AQ.             
064SOLUTION AQUEUSE CRISTALLINE                     SOL.AQ.CRIST.       
065SOLUTION AURICULAIRE                             SOL.AURI.           
066SOLUTION BUVABLE                                 SOL.BUV.            
067SOLUTION BUVABLE /SOLUTION RECTALE               SOL.BUV./RECT.      
068SOLUTION BUV GTTES                               SOL.BUV.GTTES.      
069SOLUTION DERMIQUE                                SOL.DERM.           
070SOLUTION INHALATION                              SOL.INHAL.          
071SOLUTION INJECTABLE                              SOL.INJ.            
072SOL INJ INTRA-MUSCULAIRE                         SOL;INJ.IM.         
073SOL.INJ.IV                                       SOL.INJ.IV.         
074SOLUTION INJECTABLE INTRA-VEINEUSE POUR PERFUSIONSOL.INJ.IV.PERF     
075SOL INJ SC                                       SOL.INJ.SC.         
076SOLUTION INTRA-RACHIDIENNE                       SOL.IR.             
077SOLUTION POUR LAVAGE DU SINUS                    SOL.LAV.SINUS.      
078SOLUTION NASALE                                  SOL.NAS.            
079SOLUTION NEBULISEUR                              SOL.NEBUL.          
080SOLUTION NON INJECTABLE                          SOL.NON INJ.        
081SOLUTION OPHTALMIQUE                             SOL.OPHT.           
082SOLUTION RECTALE                                 SOL.RECT.           
083SOLUTE BUVABLE                                   SOLUTE BUV.         
084SUPPOSITOIRE                                     SUPPO.              
085SUPPOSITOIRE ADULTE                              SUPPO.AD.           
086SUPPOSITOIRE ENFANT                              SUPPO.ENF.          
087SUSPENSION                                       SUSP.               
088SUSPENSION BUVABLE                               SUSP.BUV.           
089SUSPENSION INJECTABLE                            SUSP.INJ.           
090SUSPENSION NASALE                                SUSP.NAS.           
091SUSPENSION ORL                                   SUSP.ORL.           
092SUSPENSION RECTALE                               SUSP.RECT.          
093TABLETTE                                         TABL.               
006BOUFFEE                                          BOUF.               
094SPRAY                                            SPRAY               
095PASTILLE                                         PASTI               
096SOL.INJ.PERF                                     SOL.INJ.PERF        
097PATCH                                            PATCH               
098TAMPON                                           TMP                 
099LAIT                                             LAIT                
100LOTION                                           LOTION              
101APG (TUBE 15G)                                   APG                 
102INDICE UVA                                       IND UVA             
103INDICE UVB                                       IND UVB             
104POUDRE SUSPENTION                                PDR.SUSP            
105PATE                                             PATE                
106POUDRE SUSPENSION ORALE                          PDR SUSP OR         
107TIMBRE                                           TIMB                
108SOLUTION SUSPENSION INJECTABLE                   SOL.SUSP.INJ        
109INJECTION INTRA-VEINEUSE                         INJ.IV              
110SACHET                                           SCHT                
111STERILET                                         STRL                
112EPONGE                                           EPG                 
113GAZE                                             GZE                 
114COFRET                                           CRFT                
115PDRE SOL INJEC IM/IV                             PDRE SOL INJ IV/IM  
116VACCIN                                           VACC                
117ORALE FLACON                                     OR(FL)              
118INJECTABLE SOUS-CUTANE INTRAVEINEUSE             INJ SC/IV           
119EAU DISTILLE                                     EAU.DIST            
120BUVABLE                                          BUV                 
121STERILLE                                         STRL                
122POCHET                                           PCHT                
123LANGUETTES                                       LGTS                
124AEROSOL                                          AERO                
125SUPPOSITOIRES NOURRISSON                         SUPPO.NOUR          
126ORL                                              ORL                 
127BAIN DE BOUCHE                                   B.B                 
128TABLETTE                                         TABL                
129GEL GENGIVAL                                     GEL.GENG            
130AMPOULE INJECTION PERFUSION                      AMP.INJ.PERF        
131GLUCOSE LITTRE                                   GLUCO.LITR          
132POCHE                                            POCH                
133POCHE 1 LITRE                                    POCH.1LIT           
134CRAYON                                           CRAY                
135SPECIAL PLAQUETTES                               SPC.PLAQ            
136CREME VAGINALE                                   CRE.VAG.            
137COMPRIME A CROQUER                               COMP. A CROQUER     
138PERE.FLACON                                      PERE.FLACON         
139COMPRIME A SUCER                                 COMP.SUCER          
140GEL OPHTALMIQUE                                  GEL OPHTALMIQUE     
141SOLUTION INJECTABLE PERFUSION                    SOL.INJ.PERF.       
143COMP.PELLICULE                                   COMP.PELLI          
144COMP./DRG./CAPS.                                 COMP./DRG./CAPS     
145SOLUTION NASALE/SPRAY                            SOL.NASAL/SPRAY     
142POUDRE OPHTALMIQUE                               PDE.OPHT.           
146COMPRIME/GELULES/CAPSULES                        COMP/GLES/CAPS.     
148CRTOUCHE 1,5ML                                   CART.1,5ML          
149CARTOUCHE 3ML                                    CART.3ML            
147POUDRE PERFUSION INTRA-VEINEUSE                  PDRE.PERF.IV.       
150GRANULES SUSP/BUVABLE                            GRLES.SUSP.BUV.     
151GEL APPLICATION CUTANEE                          GEL.APP.CUTANEE     
152COMPRIME SEC.                                    COMP.SEC.           
153LYOPHILI.INJ                                     LYOPHILI.INJ        
154CREME DERMIQUE                                   CRE.DERMIQUE        
155COMP.GAST.RESISTANTS                             COMP.GASTRO.RES     
156COMPRIME ENROB.                                  COMP.ENRO.          
157MECHE                                            MECHE               
158LOTION P/APP.DERMIQUE                            LOTION DERM.        
159POUDRE.SOL.INJ.IV/IM                             PDRE.S.INJ.IVIM     
160POUDRE A USAGE PARENTALE                         PDRE.USAGE.PARE     
161COMP PELL.SEC                                    COMP.PELLI.SEC      
162COMPRIME DRAGE                                   COMP.DRAG.          
163LIOPHILISAT A USAGE PARENTAL                     LOPHILI.US.PARE     
164COMPRIME ENROBE LP.                              COMP.ENRO.LP.       
165AMPOULE INJ.IV.                                  AMP.INJ.IV.         
166LAIT DERMIQUE                                    LAIT.DERM.          
167GLES.MICR0GRAN/GAST.RESIST                       GLES MIC/GRA.GAST.RE
168ANGUENT                                          ANGUENT             
169GOUTTES AURICULAIRE                              GTTES AURICU.       
170POUDRE SOL.INJ.IM/SC                             PDE.SOLINJIM/SC     
171SERINGUES PREREMPLIES                            SERINGUES PRER.     
172SUSP.INHAL.                                      SUSP.INHAL.         
173COMPRIME LP.                                     COMP.LP.            
174PATE ENDODONTIQUE                                PATE ENDODONTIQ     
175GELULES LP.                                      GLES.LP.            
176INJ.HUIL.                                        INJ.HUIL.           
177COMPRIME VAGINALE                                COMP.VAGINALE       
178LYOPHILISAT POUR PERFUSION                       LYOPHILI.PERF.      
179LYOPHILISAT ORALE                                LYOPHILI.ORAL.      
180CREME DERMIQUE                                   CRE.DERM.           
181COPRIME SEC.LP.                                  COMP.SEC.LP.        
182SUSP.APPLIC.ENDO.SINUSIENNE                      SUSP.APPL.END.S     
183SUPPOSITOIRE NOURISSON                           SUPPO.NOURIS        
184COMPRESSE                                        COMPRESSE           
185TULLE                                            TULLE               
186GEL MOUSSANT                                     GEL MOUSSANT        
187EMUL DERMIQUE                                    EMUL DERM.          
188POUDRE EFFER.                                    PDRE EFFER.         
189SOLUTION GINGIVALE                               SOL.GING.           
190POMMADE DECONGESTIONNANTE                        PDE.DECONGEST.      
191GELULES … MICROGRANULE                           GLES MICROG.        
192SOL.ADM.ENDONASALE                               SOL.ADM.END.        
193SOLUTION BUVABLE SACHET                          SOL.BUV.SACHET      
194GLES.MICRONI.GASTRO.RESIST                       GLES.MIC.GAS.RE     
195GELEE                                            GELEE               
196BAUME                                            BAUME               
197SPRAY NASAL                                      SPRAY NASAL         
198PULVER.NASAL                                     PULVER.NASAL        
